Name,Price,Price_Per_Unit,Area,Facing,Status,Owner,Amenities
"Vasant Vihar, New Delhi",8Cr,"@200,000/Sq Yd.",400 Sq Yd.,East,Ready to Move,Anchit Sethi (Owner),-1st of 4 Floor-Semi Furnished-Freehold-5 Bathroom-
"Dwarka, New Delhi",2.5Cr,"@10,870/Sq Ft.",2300 Sq Ft.,North-East,Ready to Move,Sandeep Bansal (Agent),-4th of 5 Floor-Semi Furnished-Freehold-3 Bathroom-
"Paschim Vihar, New Delhi",1.2Cr,"@9,600/Sq Ft.",1250 Sq Ft.,North-East,Ready to Move,Tarun Mahajan (Agent),-4th of 4 Floor-Unfurnished-Freehold-3 Bathroom-
